 t , uL, uV
 221.000000000, -.094804432, -.127187001
 222.000000000, -.094804432, -.127187001
 223.000000000, -.094804432, -.127187001
 224.000000000, .100918366, .053067517
 225.000000000, .100918366, .053067517
 226.000000000, .100918366, .053067517
 227.000000000, .100918366, .053067517
 228.000000000, .019917821, .123719688
 229.000000000, .019917821, .123719688
 230.000000000, .019917821, .123719688
 231.000000000, .019917821, .123719688
 232.000000000, .054689576, -.138105610
 233.000000000, .054689576, -.138105610
 234.000000000, .054689576, -.138105610
 235.000000000, .054689576, -.138105610
 236.000000000, .052404142, .039564744
 237.000000000, .052404142, .039564744
 238.000000000, .052404142, .039564744
 239.000000000, .052404142, .039564744
 240.000000000, -.002086354, .063478730
 241.000000000, -.002086354, .063478730
 242.000000000, -.002086354, .063478730
 243.000000000, -.002086354, .063478730
 244.000000000, -.011721978, -.049228992
 245.000000000, -.011721978, -.049228992
 246.000000000, -.011721978, -.049228992
 247.000000000, -.011721978, -.049228992
 248.000000000, -.150994013, .127002628
 249.000000000, -.150994013, .127002628
 250.000000000, -.150994013, .127002628
 251.000000000, -.150994013, .127002628
 252.000000000, .013958680, .017931714
 253.000000000, .013958680, .017931714
 254.000000000, .013958680, .017931714
 255.000000000, .013958680, .017931714
 256.000000000, -.122337162, .192888537
 257.000000000, -.122337162, .192888537
 258.000000000, -.122337162, .192888537
 259.000000000, -.122337162, .192888537
 260.000000000, .187162134, .171606426
 261.000000000, .187162134, .171606426
 262.000000000, .187162134, .171606426
 263.000000000, .187162134, .171606426
 264.000000000, .035692081, .124852987
 265.000000000, .035692081, .124852987
 266.000000000, .035692081, .124852987
 267.000000000, .035692081, .124852987
 268.000000000, -.192950668, -.178378574
 269.000000000, -.192950668, -.178378574
 270.000000000, -.192950668, -.178378574
 271.000000000, -.192950668, -.178378574
 272.000000000, -.074262902, -.119503986
 273.000000000, -.074262902, -.119503986
 274.000000000, -.074262902, -.119503986
 275.000000000, -.074262902, -.119503986
 276.000000000, .021321214, .052523688
 277.000000000, .021321214, .052523688
 278.000000000, .021321214, .052523688
 279.000000000, .021321214, .052523688
 280.000000000, .070513365, -.158002392
 281.000000000, .070513365, -.158002392
 282.000000000, .070513365, -.158002392
 283.000000000, .070513365, -.158002392
 284.000000000, -.193246684, -.134506611
 285.000000000, -.193246684, -.134506611
 286.000000000, -.193246684, -.134506611
 287.000000000, -.193246684, -.134506611
 288.000000000, -.093737626, .007427027
 289.000000000, -.093737626, .007427027
 290.000000000, -.093737626, .007427027
 291.000000000, -.093737626, .007427027
 292.000000000, -.015647981, -.116332614
 293.000000000, -.015647981, -.116332614
 294.000000000, -.015647981, -.116332614
 295.000000000, -.015647981, -.116332614
 296.000000000, .134980010, -.093053023
 297.000000000, .134980010, -.093053023
 298.000000000, .134980010, -.093053023
 299.000000000, .134980010, -.093053023
 300.000000000, -.108418775, -.172215858
 301.000000000, -.108418775, -.172215858
 302.000000000, -.108418775, -.172215858
 303.000000000, -.108418775, -.172215858
 304.000000000, .049406196, -.191859886
 305.000000000, .049406196, -.191859886
 306.000000000, .049406196, -.191859886
 307.000000000, .049406196, -.191859886
 308.000000000, -.181817321, .122138658
 309.000000000, -.181817321, .122138658
 310.000000000, -.181817321, .122138658
 311.000000000, -.181817321, .122138658
 312.000000000, .009288994, .016562506
 313.000000000, .009288994, .016562506
 314.000000000, .009288994, .016562506
 315.000000000, .009288994, .016562506
 316.000000000, .123873582, .176421742
 317.000000000, .123873582, .176421742
 318.000000000, .123873582, .176421742
 319.000000000, .123873582, .176421742
 320.000000000, -.067286001, .087734405
 321.000000000, -.067286001, .087734405
 322.000000000, -.067286001, .087734405
 323.000000000, -.067286001, .087734405
 324.000000000, .156771217, .016182033
 325.000000000, .156771217, .016182033
 326.000000000, .156771217, .016182033
 327.000000000, .156771217, .016182033
 328.000000000, .081126092, .110044808
 329.000000000, .081126092, .110044808
 330.000000000, .081126092, .110044808
 331.000000000, .081126092, .110044808
 332.000000000, .098413067, -.182759346
 333.000000000, .098413067, -.182759346
 334.000000000, .098413067, -.182759346
 335.000000000, .098413067, -.182759346
 336.000000000, -.096371141, -.099413215
 337.000000000, -.096371141, -.099413215
 338.000000000, -.096371141, -.099413215
 339.000000000, -.096371141, -.099413215
 340.000000000, .068519978, .045957354
 341.000000000, .068519978, .045957354
 342.000000000, .068519978, .045957354
 343.000000000, .068519978, .045957354
 344.000000000, .061989736, -.056995337
 345.000000000, .061989736, -.056995337
 346.000000000, .061989736, -.056995337
 347.000000000, .061989736, -.056995337
 348.000000000, .174178008, -.111259201
 349.000000000, .174178008, -.111259201
 350.000000000, .174178008, -.111259201
 351.000000000, .174178008, -.111259201
 352.000000000, .188503084, .164411959
 353.000000000, .188503084, .164411959
 354.000000000, .188503084, .164411959
 355.000000000, .188503084, .164411959
 356.000000000, .000380902, -.118567578
 357.000000000, .000380902, -.118567578
 358.000000000, .000380902, -.118567578
 359.000000000, .000380902, -.118567578
 360.000000000, .000380902, -.118567578
