"time","L","S","E","I_S","I_A","H","R","D"
60.5,0.,0.7913788269768169,0.0019260182814715794,0.00014909826812703304,0.0018232031723986997,0.00019848563597105792,0.20248014692903854,0.0020442207051759404,""
61.,0.,0.7917406757629142,0.0019405317121318627,0.0001501995163647081,0.001836461167070215,0.00019988323357046598,0.2020864025279026,0.0020458460490457874,""
61.5,0.,0.7920998441144221,0.0019551971294732,0.000151312411491659,0.0018498597471144744,0.0002012957732461282,0.20169500793166195,0.0020474828615902703,""
62.,0.,0.7924563225634134,0.0019700160002425514,0.000152437050092531,0.0018634001781049822,0.00020272340139770045,0.20130596951402593,0.0020491312617228106,""
62.5,0.,0.7928101013535611,0.0019849898326278915,0.00015357352691347566,0.001877083739043337,0.00020416627042489532,0.20091929387580473,0.002050791370624423,""
63.,0.,0.7931611693420049,0.0020001203340529266,0.00015472192786172818,0.0018909117734893022,0.0002056245615738631,0.20053498870963918,0.0020524633203780215,""
63.5,0.,0.7935095162045963,0.002015409094297842,0.00015588234406367413,0.0019048855868827221,0.00020709843905768237,0.20015306106347247,0.0020541472366292324,""
64.,0.,0.7938551317785598,0.0020308576799546335,0.0001570548676744225,0.001919006477149795,0.000208588063732119,0.19977351785817427,0.002055843243754857,""
64.5,0.,0.7941980059011199,0.002046467657615297,0.0001582395908490822,0.0019332757422167181,0.0002100935964529388,0.1993963660146143,0.0020575514661316957,""
65.,0.,0.794538128153683,0.00206224056298964,0.0001594366196426225,0.0019476947453868415,0.00021161519203689066,0.1990216126642803,0.0020592720309805636,""
65.5,0.,0.7948754868665128,0.0020781777807501733,0.00016064612809085538,0.001962265169707299,0.00021315297576535703,0.19864926596874175,0.002061005079431657,""
66.,0.,0.7952100711033118,0.0020942807841097654,0.0001618682503781903,0.0019769885107865626,0.00021470709023380075,0.19827933348571852,0.002062750744461281,""
66.5,0.,0.7955418700756418,0.0021105510641307697,0.00016310311265510652,0.001991866226445998,0.00021627768152815438,0.19791182265119617,0.002064509157401941,""
